3639,19731
3630,67306
3632,96862
3633,16861
3637,72984
0,0
104708,30222
1,12230
2,12399
104706,30221
3,16820
4,16826
5,16828
6,19310
7,19332
3641,3654
8,22098
104700,90266
9,1
104701,6273
104704,25860
3646,12723
3652,3655
3653,3656
3654,40149
3656,72985
3659,51873
3670,58858
3671,16862
3663,19732
3666,90858
104740,27888
128710,55137
187089,2660
128708,30413
187097,47752
187092,55549
128701,57751
3675,84765
128702,47234
187090,16471
128705,37895
104736,50169
3692,48
104751,44252
104752,82714
3695,44946
187099,16472
3685,3657
104744,28732
104742,37593
104748,40714
187067,16470
187068,51093
187073,58700
187070,87307
3697,60588
104715,90761
104716,6274
104713,48844
104714,59520
104730,57647
187079,67726
187084,38614
104723,91163
104726,91164
104725,84202
104780,65549
104784,84532
128751,87196
104782,79375
114103,42837
114104,70748
153713,53656
114106,76575
153715,79069
114108,91199
114109,48222
153717,50713
153718,52410
36407,17183
36409,22223
12439,60675
114111,37710
114112,77368
85377,31469
104778,65548
85378,68709
104776,28733
36402,40312
12431,85092
128748,34256
36404,86223
85371,5783
36406,54500
85372,85315
104791,76129
128740,80474
104796,37595
128741,44353
104793,37594
153700,82812
153701,19564
153703,34634
153704,93107
153706,16302
153707,12240
114100,43489
104788,32164
85366,65399
128736,75770
128737,85453
128738,6860
85360,40619
85361,85314
85391,80966
85392,47427
85390,25720
104762,82715
153730,55300
128732,14059
153734,74334
153737,7495
153739,68360
12418,86168
12419,75515
12416,36403
12410,183
104755,1467
128723,88999
128724,77196
104754,52777
104759,31839
85395,69348
128727,34255
85396,40620
12415,52742
104757,67514
85394,26846
128729,85452
85381,76499
138109,34399
128720,52312
128721,27291
153723,59868
153727,7494
153728,2149
128719,50440
12428,69113
85388,44169
104766,58510
12422,3884
128712,34254
85386,53302
12420,32605
138113,65784
128715,46728
128717,95311
104769,6275
85383,27190
128792,50441
128794,85455
128795,18119
128796,26027
128797,30414
114147,30302
114149,42838
128790,26026
114150,52261
114151,58538
114152,77184
114154,52262
114155,6512
128789,26025
128781,72817
128782,16165
128783,14060
128784,1767
128787,65725
114137,34044
114138,70749
12407,49146
12408,182
114145,63855
128777,59687
128778,48522
12400,54305
12401,10113
12402,96007
128770,20880
128773,20881
128774,85454
114125,30301
114129,47213
114132,50283
114133,45860
128766,45321
104799,80434
104797,86061
128762,83221
128763,31982
114114,58537
114115,34043
128755,18118
12391,3882
12392,32604
153672,14319
99936,76126
36360,84419
36361,53051
153673,80511
153674,75287
12396,3883
153675,7493
36364,20059
12393,95783
99933,16030
153677,74333
36365,87981
99931,63746
153679,86888
61325,13339
61326,13340
61327,86282
61329,65210
138040,90069
114074,17973
114076,1585
114077,93708
177639,18549
75972,13489
177636,62321
212607,90410
212608,90099
36366,28423
212601,74792
177635,8134
36367,60896
75975,61276
12397,22195
75976,23844
36368,54499
177632,62320
138047,20969
177633,34950
12398,81335
75977,88800
75978,20425
114070,10604
138045,63995
114071,67979
114072,10605
138043,61885
153660,42910
153661,21132
36350,73269
153663,74332
99924,6164
153664,44449
36353,493
61331,39482
153666,78638
61334,33313
153669,62061
61336,73528
61337,91954
61338,82239
114062,28781
114064,27918
177629,89731
138050,74225
212616,3006
114066,61627
177627,91866
212618,9034
75961,31459
177625,77021
138059,48992
36356,20058
212613,69008
138057,55210
36357,65006
75966,48152
36358,84418
75967,41934
75968,13488
138056,46146
212610,35449
138053,66961
114061,27917
212611,31038
138054,57118
99919,59491
153693,82811
128694,59686
153694,59867
